PlayerId,PlayerName,Salary,PlayerPos,Default_Proj_Score,Proj_Mins,Team,Period,AwayTeam,HomeTeam,DateTime,Actual_Pts,Last_Sal,Proj_Score
1873,Ersan Ilyasova,4500,PF,19.25,28.33,DET,2015-11-20,DET,MIN,2015-11-20 200000,12.20,4200,19.25
2558,Dion Waiters,4500,SG,18.46,26.00,OKC,2015-11-20,NYK,OKC,2015-11-20 200000,24.30,4700,18.46
1884,Taj Gibson,4400,PF,19.40,26.00,CHI,2015-11-20,CHI,GSW,2015-11-20 223000,7.20,4500,19.40
1923,Mario Chalmers,4400,PG,18.37,26.00,MEM,2015-11-20,HOU,MEM,2015-11-20 200000,21.30,4000,18.37
1897,Jose Calderon,4400,PG,17.61,28.00,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,29.30,4400,17.61
731,Cory Joseph,4400,PG,20.59,24.67,TOR,2015-11-20,TOR,LAL,2015-11-20 223000,20.20,4300,20.59
3871,Jerami Grant,4400,PF,22.52,29.00,PHI,2015-11-20,PHI,CHA,2015-11-20 190000,22.50,4300,22.52
1931,Robin Lopez,4400,C,20.94,29.00,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,18.40,4500,20.94
3800,P.J. Tucker,4400,SF,18.13,26.67,PHX,2015-11-20,PHX,DEN,2015-11-20 210000,13.80,4200,18.13
2571,Jamal Crawford,4400,SG,17.80,23.00,LAC,2015-11-20,LAC,POR,2015-11-20 220000,21.70,4400,17.80
1936,Luis Scola,4400,PF,22.32,25.33,TOR,2015-11-20,TOR,LAL,2015-11-20 223000,18.50,4300,22.32
2006,Festus Ezeli,4300,C,18.09,17.00,GSW,2015-11-20,CHI,GSW,2015-11-20 223000,23.30,4300,18.09
744,Clint Capela,4300,C,12.22,11.00,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,11.40,4400,12.22
1909,Marcus Thornton,4300,SG,14.18,18.00,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,10.60,4500,14.18
1846,Jeff Green,4300,SF,22.55,32.67,MEM,2015-11-20,HOU,MEM,2015-11-20 200000,21.70,3800,22.55
717,Ed Davis,4200,PF,16.43,18.67,POR,2015-11-20,LAC,POR,2015-11-20 220000,35.00,4400,16.43
2678,Shane Larkin,4200,PG,10.02,12.00,BKN,2015-11-20,BKN,BOS,2015-11-20 193000,24.10,4100,10.02
6528,David Lee,4200,PF,10.17,11.00,BOS,2015-11-20,BKN,BOS,2015-11-20 193000,20.10,4200,10.17
706,Danny Green,4200,SG,17.03,27.67,SAS,2015-11-20,SAS,NOP,2015-11-20 200000,20.10,4200,17.03
1932,Tony Allen,4200,SG,21.71,29.00,MEM,2015-11-20,HOU,MEM,2015-11-20 200000,16.60,4300,21.71
2012,Steven Adams,4100,C,17.44,22.00,OKC,2015-11-20,NYK,OKC,2015-11-20 200000,15.60,4400,17.44
2628,Gorgui Dieng,4100,C,15.64,18.00,MIN,2015-11-20,DET,MIN,2015-11-20 200000,14.80,3900,15.64
1877,J.J. Hickson,4100,PF,14.58,16.00,DEN,2015-11-20,PHX,DEN,2015-11-20 210000,20.90,4400,14.58
1193478,Nikola Jokic,4100,C,15.08,16.33,DEN,2015-11-20,PHX,DEN,2015-11-20 210000,14.30,3500,15.08
708,Devin Harris,4100,SG,16.01,22.33,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,8.70,4200,16.01
3877,T.J. Warren,4000,SF,16.30,21.00,PHX,2015-11-20,PHX,DEN,2015-11-20 210000,3.00,4000,16.30
2027,Alex Len,4000,C,13.41,17.00,PHX,2015-11-20,PHX,DEN,2015-11-20 210000,17.80,4000,13.41
10489,Gary Harris,4000,SG,18.18,28.00,DEN,2015-11-20,PHX,DEN,2015-11-20 210000,21.40,3700,18.18
726,Isaiah Canaan,4000,PG,13.36,18.00,PHI,2015-11-20,PHI,CHA,2015-11-20 190000,14.40,4300,13.36
2018,Nik Stauskas,4000,SG,18.13,29.00,PHI,2015-11-20,PHI,CHA,2015-11-20 190000,23.90,4100,18.13
1193524,Nemanja Bjelica,4000,SF,18.55,25.00,MIN,2015-11-20,DET,MIN,2015-11-20 200000,null,4400,18.55
1831,Josh Smith,3900,PF,15.22,15.00,LAC,2015-11-20,LAC,POR,2015-11-20 220000,18.60,3900,15.22
1940,Courtney Lee,3900,SG,19.44,28.00,MEM,2015-11-20,HOU,MEM,2015-11-20 200000,14.30,4000,19.44
709,Boris Diaw,3900,PF,14.73,19.00,SAS,2015-11-20,SAS,NOP,2015-11-20 200000,14.80,4100,14.73
3785,David West,3900,PF,10.76,14.00,SAS,2015-11-20,SAS,NOP,2015-11-20 200000,9.40,4000,10.76
765,Patrick Mills,3900,PG,19.22,22.33,SAS,2015-11-20,SAS,NOP,2015-11-20 200000,19.70,3600,19.22
1924,Bojan Bogdanovic,3900,SF,17.27,31.00,BKN,2015-11-20,BKN,BOS,2015-11-20 193000,8.20,4200,17.27
710,Austin Rivers,3800,PG,12.69,22.00,LAC,2015-11-20,LAC,POR,2015-11-20 220000,14.70,3800,12.69
2657,Kevin Seraphin,3800,PF,4.43,5.00,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,5.00,3600,4.43
1968,Hollis Thompson,3800,SF,14.39,22.00,PHI,2015-11-20,PHI,CHA,2015-11-20 190000,16.80,3700,14.39
1193480,Stanley Johnson,3800,SF,19.01,24.00,DET,2015-11-20,DET,MIN,2015-11-20 200000,17.90,3900,19.01
1991,Tyler Zeller,3800,C,4.18,4.33,BOS,2015-11-20,BKN,BOS,2015-11-20 193000,12.30,3800,4.18
18779,Kyle O'Quinn,3800,C,4.08,3.67,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,1.50,3800,4.08
30842,Dante Cunningham,3800,PF,11.94,20.00,NOP,2015-11-20,SAS,NOP,2015-11-20 200000,9.00,3500,11.94
2349,Gerald Henderson,3800,SG,6.29,9.33,POR,2015-11-20,LAC,POR,2015-11-20 220000,12.70,4000,6.29
1902,Kelly Olynyk,3700,C,17.34,17.00,BOS,2015-11-20,BKN,BOS,2015-11-20 193000,20.50,3800,17.34
2575,Spencer Hawes,3700,C,15.04,19.00,CHA,2015-11-20,PHI,CHA,2015-11-20 190000,11.00,3500,15.04
1838,Paul Pierce,3700,SF,17.20,25.00,LAC,2015-11-20,LAC,POR,2015-11-20 220000,0.00,3700,17.20
1943,Trevor Booker,3700,PF,15.36,19.67,UTA,2015-11-20,UTA,DAL,2015-11-20 203000,9.40,3800,15.36
1885,Kirk Hinrich,3700,SG,15.08,29.00,CHI,2015-11-20,CHI,GSW,2015-11-20 223000,22.90,3500,15.08
1913,Corey Brewer,3700,SF,12.90,20.00,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,3.00,3600,12.90
1966,Kevin Garnett,3700,PF,13.71,15.00,MIN,2015-11-20,DET,MIN,2015-11-20 200000,8.80,3700,13.71
1922,Brandon Bass,3700,PF,13.34,17.00,LAL,2015-11-20,TOR,LAL,2015-11-20 223000,15.00,3800,13.34
581955,JaMychal Green,3700,PF,25.04,30.00,MEM,2015-11-20,HOU,MEM,2015-11-20 200000,8.50,3500,25.04
3895,Allen Crabbe,3700,SG,13.60,22.00,POR,2015-11-20,LAC,POR,2015-11-20 220000,5.50,3500,13.60
2034,Doug McDermott,3700,SF,17.13,25.00,CHI,2015-11-20,CHI,GSW,2015-11-20 223000,4.20,3700,17.13
720,Alexis Ajinca,3700,C,6.11,6.00,NOP,2015-11-20,SAS,NOP,2015-11-20 200000,11.60,3500,6.11
1193538,Jerian Grant,3600,PG,13.25,17.67,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,11.80,3800,13.25
2032,Juan Jose Barea,3600,PG,13.39,17.00,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,20.30,3700,13.39
1992,Pablo Prigioni,3600,PG,4.67,8.00,LAC,2015-11-20,LAC,POR,2015-11-20 220000,0.00,3600,4.67
1193501,Metta World Peace,3600,SF,12.77,16.67,LAL,2015-11-20,TOR,LAL,2015-11-20 223000,5.20,3500,12.77
1193455,Frank Kaky,3600,PF,13.36,18.00,CHA,2015-11-20,PHI,CHA,2015-11-20 190000,21.10,3500,13.36
2384,Lance Stephenson,3600,SG,13.41,23.00,LAC,2015-11-20,LAC,POR,2015-11-20 220000,5.50,3600,13.41
773,Luke Babbitt,3600,SF,8.69,17.00,NOP,2015-11-20,SAS,NOP,2015-11-20 200000,0.00,3500,8.69
766,Raymond Felton,3600,PG,13.00,22.00,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,7.00,3500,13.00
2052,Phil Pressey,3600,PG,15.01,14.00,PHI,2015-11-20,PHI,CHA,2015-11-20 190000,3.00,3500,15.01
2001,Andre Roberson,3600,SG,14.39,27.00,OKC,2015-11-20,NYK,OKC,2015-11-20 200000,7.90,3500,14.39
2035,Leandro Barbosa,3600,SG,9.01,12.00,GSW,2015-11-20,CHI,GSW,2015-11-20 223000,4.50,3600,9.01
705,Wesley Johnson,3600,SF,5.11,8.00,LAC,2015-11-20,LAC,POR,2015-11-20 220000,9.10,3600,5.11
10095,Tyler Hansbrough,3500,PF,0.00,0.00,CHA,2015-11-20,PHI,CHA,2015-11-20 190000,9.70,3500,0.00
2669,Spencer Dinwiddie,3500,PG,4.56,5.00,DET,2015-11-20,DET,MIN,2015-11-20 200000,12.20,3700,4.56
10476,Markel Brown,3500,SG,0.60,1.33,BKN,2015-11-20,BKN,BOS,2015-11-20 193000,3.50,3500,0.60
1193445,Rondae Hollis-Jefferson,3500,SF,20.06,26.00,BKN,2015-11-20,BKN,BOS,2015-11-20 193000,30.20,3500,20.06
1952,Steve Blake,3500,PG,9.83,15.00,DET,2015-11-20,DET,MIN,2015-11-20 200000,0.00,3500,9.83
1957,K.J. McDaniels,3500,SF,2.28,3.00,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,10.00,3500,2.28
3874,Ray McCallum,3500,PG,3.35,4.33,SAS,2015-11-20,SAS,NOP,2015-11-20 200000,2.40,3500,3.35
3900,JaKarr Sampson,3500,SF,4.06,5.00,PHI,2015-11-20,PHI,CHA,2015-11-20 190000,8.60,3500,4.06
2598,Matt Barnes,3500,SF,17.10,26.00,MEM,2015-11-20,HOU,MEM,2015-11-20 200000,28.40,3500,17.10
1193588,Raulzinho Neto,3500,PG,9.47,15.00,UTA,2015-11-20,UTA,DAL,2015-11-20 203000,9.90,3500,9.47
2671,Rasual Butler,3500,SF,8.41,12.33,SAS,2015-11-20,SAS,NOP,2015-11-20 200000,3.40,3500,8.41
3274,Joe Ingles,3500,SF,8.07,13.00,UTA,2015-11-20,UTA,DAL,2015-11-20 203000,0.00,3500,8.07
1893,Andrea Bargnani,3500,C,9.30,12.00,BKN,2015-11-20,BKN,BOS,2015-11-20 193000,8.90,3500,9.30
938778,James McAdoo,3500,PF,0.61,0.67,GSW,2015-11-20,CHI,GSW,2015-11-20 223000,4.20,3500,0.61
1193587,Trey Lyles,3500,PF,3.50,3.00,UTA,2015-11-20,UTA,DAL,2015-11-20 203000,0.00,3500,3.50
2010,Thomas Robinson,3500,PF,4.73,5.00,BKN,2015-11-20,BKN,BOS,2015-11-20 193000,13.20,3800,4.73
1929,Mirza Teletovic,3500,PF,12.26,15.00,PHX,2015-11-20,PHX,DEN,2015-11-20 210000,25.50,3600,12.26
759,Ronnie Price,3500,PG,2.06,3.00,PHX,2015-11-20,PHX,DEN,2015-11-20 210000,15.90,3500,2.06
723,Jason Terry,3500,PG,11.70,20.00,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,7.10,3500,11.70
1193452,R.J. Hunter,3500,SG,2.22,3.33,BOS,2015-11-20,BKN,BOS,2015-11-20 193000,5.00,3500,2.22
2017,Lance Thomas,3500,SF,8.61,19.00,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,17.10,3500,8.61
1193500,Marcelo Huertas,3500,PG,3.52,4.33,LAL,2015-11-20,TOR,LAL,2015-11-20 223000,0.00,3500,3.52
1887,Randy Foye,3500,SG,13.50,21.00,DEN,2015-11-20,PHX,DEN,2015-11-20 210000,3.20,3600,13.50
1937,Patrick Patterson,3500,PF,14.33,24.00,TOR,2015-11-20,TOR,LAL,2015-11-20 223000,21.90,3700,14.33
750,Aron Baynes,3500,C,6.93,9.67,DET,2015-11-20,DET,MIN,2015-11-20 200000,24.70,3500,6.93
2023,Chuck Hayes,3500,C,3.45,4.67null,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,null,3500,3.45
937205,Toney Douglas,3500,PG,7.46,10.00,NOP,2015-11-20,SAS,NOP,2015-11-20 200000,6.30,3500,7.46
6640,Shaun Livingston,3500,PG,10.55,18.00,GSW,2015-11-20,CHI,GSW,2015-11-20 223000,10.10,3500,10.55
761,Nick Young,3500,SG,15.76,22.00,LAL,2015-11-20,TOR,LAL,2015-11-20 223000,9.00,3600,15.76
10485,Kostas Papanikolaou,3500,SF,3.46,5.00,DEN,2015-11-20,PHX,DEN,2015-11-20 210000,0.00,3500,3.46
2401,Brian Roberts,3500,PG,5.47,6.00,CHA,2015-11-20,PHI,CHA,2015-11-20 190000,6.50,3500,5.47
1193558,Devin Booker,3500,SG,3.88,5.00,PHX,2015-11-20,PHX,DEN,2015-11-20 210000,1.70,3500,3.88
14848,Adreian Payne,3500,PF,1.89,3.00,MIN,2015-11-20,DET,MIN,2015-11-20 200000,4.60,3500,1.89
2661,Louis Amundson,3500,PF,7.42,8.00,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,0.00,3500,7.42
1193469,Justin Anderson,3500,SF,3.06,4.33,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,0.00,3500,3.06
3835,Luc Mbah a Moute,3500,SF,5.35,8.00,LAC,2015-11-20,LAC,POR,2015-11-20 220000,5.80,3500,5.35
1193567,Cliff Alexander,3500,PF,3.58,5.00,POR,2015-11-20,LAC,POR,2015-11-20 220000,4.40,3500,3.58
